index	likes	title	cover_url
1	24	财务总监常用的100个企业财务分析架构模板	https://sns-webpic-qc.xhscdn.com/202603251603/d3f8e1d1eab5c2668079585fc370ebaa/spectrum/1040g0k031u3daibqho0g5pchiumohfl2lvqob60!nc_n_nwebp_prv_1
2	5	如何判断资本配置纪律是否真正推动价值扩张	https://sns-webpic-qc.xhscdn.com/202603251603/906cbcd3f7dad621b800ec9a64f271f3/spectrum/1040g0k031u3cc8adhm005pchiumohfl28gljhso!nc_n_nwebp_prv_1
3	17	如何判断CAPEX正常化能否支撑增长与回报	https://sns-webpic-qc.xhscdn.com/202603251603/c2455397f8b5510efadf3fdad6f6dc3b/spectrum/1040g34o31u2472f3gs205pchiumohfl2fdsh8uo!nc_n_nwebp_prv_1
4	10	如何判断收入集中度与利润贡献背离	https://sns-webpic-qc.xhscdn.com/202603251603/f6fc76c02cb609e59b60bafe2e7d323b/spectrum/1040g0k031u2283cf1gl05pchiumohfl2vabt03o!nc_n_nwebp_prv_1
5	3	如何判断高管薪酬是否具有长期约束力	https://sns-webpic-qc.xhscdn.com/202603251603/134b2534189635e17c2454895decd761/spectrum/1040g0k031u14q3qfhg005pchiumohfl22gqu7d8!nc_n_nwebp_prv_1
6	22	如何判断利润改善是否来自经营而非外部环境	https://sns-webpic-qc.xhscdn.com/202603251603/41720338491baeac78260ed051be8795/spectrum/1040g0k031u1340fk1g005pchiumohfl2s5scv8o!nc_n_nwebp_prv_1
7	17	如何判断EBITDA增长能否转化为自由现金流	https://sns-webpic-qc.xhscdn.com/202603251603/ca878dc6657838999ec9869073f519cc/spectrum/1040g34o31u0n89gags2g5pchiumohfl2ji12ui0!nc_n_nwebp_prv_1
8	17	如何判断利润率改善是否具备可持续性	https://sns-webpic-qc.xhscdn.com/202603251603/c37a84a798f0951abac2d0cee782443b/spectrum/1040g34o31u0mioil1a2g5pchiumohfl299ju070!nc_n_nwebp_prv_1
9	83	如何把PPT做得像波士顿咨询(BCG)一样专业?	https://sns-webpic-qc.xhscdn.com/202603251603/33b0a11c44270d4ca5fc10b60c49ef8c/spectrum/1040g0k031tvje00igs005pchiumohfl290urof0!nc_n_nwebp_prv_1
10	21	如何像麦肯锡McKinsey一样制作财务汇报ppt?	https://sns-webpic-qc.xhscdn.com/202603251603/54770ce0d1792f71735e2498852cc89b/spectrum/1040g34o31tugjb6ugs605pchiumohfl26bgajng!nc_n_nwebp_prv_1
